Titration Data Only,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,,,,Meas. value,,,,,,Temp.,,,dE,,,,,,,,,,
,[s],,,,,[mV],,,,,,[°C],,,[mV],,,,,,,,,,
,1,,,,,-27.0,,,,,,19.5,,,,,,,,,,,,,
,2,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,3,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,4,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,5,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,6,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,7,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,8,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,9,,,,,-27.1,,,,,,19.5,,,-0.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,V,,,,Meas. value,,dV,,,,Temp.,dE,,,,,,EP,,,,,
,[s],,[mL],,,,[mV],,[mL],,,,[°C],[mV],,,,,,,,,,,
,142,,0.9400,,,,240.9,,0.0200,,,,20.0,0.5,,,,,23.01,,,,,,
,145,,0.9600,,,,241.3,,0.0200,,,,20.0,0.4,,,,,21.43,,,,,,
,148,,0.9800,,,,241.7,,0.0200,,,,20.0,0.4,,,,,20.92,,,,,,
,151,,1.0000,,,,242.1,,0.0200,,,,20.0,0.4,,,,,21.50,,,,,,
,154,,1.0200,,,,242.6,,0.0200,,,,20.0,0.5,,,,,21.99,,,,,,
,157,,1.0400,,,,243.0,,0.0200,,,,20.0,0.4,,,,,22.29,,,,,,
,160,,1.0600,,,,243.5,,0.0200,,,,20.0,0.5,,,,,21.80,,,,,,
,163,,1.0800,,,,243.9,,0.0200,,,,20.0,0.4,,,,,21.28,,,,,,
,166,,1.1000,,,,244.3,,0.0200,,,,20.0,0.4,,,,,20.23,,,,,,
,169,,1.1200,,,,244.7,,0.0200,,,,20.0,0.4,,,,,,,,,,,
,172,,1.1400,,,,245.1,,0.0200,,,,20.0,0.4,,,,,,,,,,,
,175,,1.1600,,,,245.5,,0.0200,,,,20.0,0.4,,,,,,,,,,,
,178,,1.1800,,,,245.8,,0.0200,,,,20.0,0.3,,,,,,,,,,,
,181,,1.2000,,,,246.2,,0.0200,,,,20.0,0.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,,,,,,,,,,,
,Time,,,,,Meas. value,,,,,,Temp.,,,dE,,,,,,,,,,
,[s],,,,,[mV],,,,,,[°C],,,[mV],,,,,,,,,,
,1,,,,,-54.0,,,,,,20.2,,,,,,,,,,,,,
,2,,,,,-54.0,,,,,,20.2,,,0.0,,,,,,,,,,
,3,,,,,-54.0,,,,,,20.2,,,0.0,,,,,,,,,,
,4,,,,,-54.1,,,,,,20.2,,,-0.1,,,,,,,,,,
,5,,,,,-54.1,,,,,,20.2,,,0.0,,,,,,,,,,
,6,,,,,-54.1,,,,,,20.2,,,0.0,,,,,,,,,,
,7,,,,,-54.1,,,,,,20.2,,,0.0,,,,,,,,,,
,8,,,,,-54.1,,,,,,20.2,,,0.0,,,,,,,,,,
,9,,,,,-54.1,,,,,,20.2,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,,,,,,,,,,,
,Time,,V,,,,Meas. value,,dV,,,,Temp.,dE,,,,,,EP,,,,,
,[s],,[mL],,,,[mV],,[mL],,,,[°C],[mV],,,,,,,,,,,
,0,,0.0000,,,,-54.1,,,,,,20.2,,,,,,,,,,,,
,1,,0.0010,,,,-54.1,,0.0010,,,,20.2,0.0,,,,,,,,,,,
,2,,0.0050,,,,-54.1,,0.0040,,,,20.2,0.0,,,,,,,,,,,
,3,,0.0110,,,,-53.7,,0.0060,,,,20.2,0.4,,,,,,,,,,,
,4,,0.0195,,,,-52.8,,0.0085,,,,20.2,0.9,,,,,,,,,,,
,5,,0.0335,,,,-50.6,,0.0140,,,,20.2,2.2,,,,,,,,,,,
,6,,0.0540,,,,-47.5,,0.0205,,,,20.2,3.1,,,,,,,,,,,
,7,,0.0780,,,,-42.0,,0.0240,,,,20.2,5.5,,,,,,,,,,,
,8,,0.1115,,,,-33.8,,0.0335,,,,20.2,8.2,,,,,,,,,,,
,9,,0.1530,,,,-21.3,,0.0415,,,,20.2,12.5,,,,,,,,,,,
,10,,0.2045,,,,-8.5,,0.0515,,,,20.2,12.8,,,,,,,,,,,
,11,,0.2665,,,,3.7,,0.0620,,,,20.2,12.2,,,,,,,,,,,
,12,,0.3405,,,,18.9,,0.0740,,,,20.2,15.2,,,,,,,,,,,
,13,,0.4175,,,,30.1,,0.0770,,,,20.2,11.2,,,,,,,,,,,
,14,,0.5160,,,,40.6,,0.0985,,,,20.2,10.5,,,,,,,,,,,
,15,,0.6275,,,,52.7,,0.1115,,,,20.2,12.1,,,,,,,,,,,
,16,,0.7510,,,,68.3,,0.1235,,,,20.2,15.6,,,,,,,,,,,
,17,,0.8875,,,,85.6,,0.1365,,,,20.2,17.3,,,,,,,,,,,
,18,,1.0045,,,,103.5,,0.1170,,,,20.2,17.9,,,,,,,,,,,
,19,,1.0160,,,,103.7,,0.0115,,,,20.2,0.2,,,,,,,,,,,
,20,,1.0270,,,,100.8,,0.0110,,,,20.2,-2.9,,,,,,,,,,,
,21,,1.0420,,,,103.1,,0.0150,,,,20.2,2.3,,,,,,,,,,,
,22,,1.0625,,,,109.8,,0.0205,,,,20.2,6.7,,,,,,,,,,,
,23,,1.0865,,,,115.1,,0.0240,,,,20.2,5.3,,,,,,,,,,,
,24,,1.1120,,,,122.7,,0.0255,,,,20.2,7.6,,,,,,,,,,,
,25,,1.1365,,,,130.0,,0.0245,,,,20.2,7.3,,,,,,,,,,,
,26,,1.1600,,,,137.4,,0.0235,,,,20.2,7.4,,,,,,,,,,,
,27,,1.1785,,,,144.4,,0.0185,,,,20.2,7.0,,,,,,,,,,,
,28,,1.1925,,,,149.3,,0.0140,,,,20.2,4.9,,,,,,,,,,,
,29,,1.2060,,,,154.7,,0.0135,,,,20.2,5.4,,,,,,,,,,,
,30,,1.2175,,,,159.4,,0.0115,,,,20.2,4.7,,,,,,,,,,,
,31,,1.2260,,,,163.5,,0.0085,,,,20.2,4.1,,,,,,,,,,,
,32,,1.2315,,,,166.3,,0.0055,,,,20.2,2.8,,,,,,,,,,,
,33,,1.2375,,,,168.4,,0.0060,,,,20.2,2.1,,,,,,,,,,,
,34,,1.2455,,,,170.4,,0.0080,,,,20.2,2.0,,,,,,,,,,,
,35,,1.2545,,,,173.0,,0.0090,,,,20.2,2.6,,,,,,,,,,,
,36,,1.2635,,,,175.5,,0.0090,,,,20.2,2.5,,,,,,,,,,,
,37,,1.2710,,,,177.3,,0.0075,,,,20.2,1.8,,,,,,,,,,,
,38,,1.2775,,,,179.1,,0.0065,,,,20.2,1.8,,,,,,,,,,,
,39,,1.2850,,,,180.8,,0.0075,,,,20.2,1.7,,,,,,,,,,,
,40,,1.2920,,,,182.5,,0.0070,,,,20.2,1.7,,,,,,,,,,,
,41,,1.2965,,,,183.9,,0.0045,,,,20.2,1.4,,,,,,,,,,,
,42,,1.3010,,,,184.9,,0.0045,,,,20.2,1.0,,,,,,,,,,,
,43,,1.3045,,,,185.6,,0.0035,,,,20.2,0.7,,,,,,,,,,,
,44,,1.3095,,,,186.5,,0.0050,,,,20.2,0.9,,,,,,,,,,,
,45,,1.3140,,,,187.3,,0.0045,,,,20.2,0.8,,,,,,,,,,,
