Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0,,,
,3,,,,-76.9,,,,,,21.3,,,,0,,,
,4,,,,-76.9,,,,,,21.3,,,,0,,,
,5,,,,-77,,,,,,21.3,,,,-0.1,,,
,6,,,,-77,,,,,,21.3,,,,0,,,
,7,,,,-77,,,,,,21.3,,,,0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-62.5,,,,,,22.1,,,,,,,
,2,,,,-62.5,,,,,,22.1,,,,0,,,
,3,,,,-62.5,,,,,,22.1,,,,0,,,
,4,,,,-62.5,,,,,,22.1,,,,0,,,
,5,,,,-62.5,,,,,,22.1,,,,0,,,
,6,,,,-62.5,,,,,,22.1,,,,0,,,
,7,,,,-62.6,,,,,,22.1,,,,-0.1,,,
,8,,,,-62.6,,,,,,22.1,,,,0,,,
,9,,,,-62.6,,,,,,22.1,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-62.6,,,,,,22.2,,,,,,
,1,0.001,,,,-62.6,,,0.001,,,22.2,,0,,,,
,2,0.005,,,,-62.6,,,0.004,,,22.2,,0,,,,
,3,0.011,,,,-62.2,,,0.006,,,22.2,,0.4,,,,
,4,0.0195,,,,-61.5,,,0.0085,,,22.2,,0.7,,,,
,5,0.0335,,,,-60,,,0.014,,,22.2,,1.5,,,,
,6,0.054,,,,-57.7,,,0.0205,,,22.2,,2.3,,,,
,7,0.078,,,,-53.6,,,0.024,,,22.2,,4.1,,,,
,8,0.1115,,,,-47.5,,,0.0335,,,22.2,,6.1,,,,
,9,0.153,,,,-38.8,,,0.0415,,,22.2,,8.7,,,,
,10,0.2045,,,,-27.9,,,0.0515,,,22.2,,10.9,,,,
,11,0.2665,,,,-16.4,,,0.062,,,22.2,,11.5,,,,
,12,0.341,,,,-5.2,,,0.0745,,,22.2,,11.2,,,,
,13,0.4175,,,,5.1,,,0.0765,,,22.2,,10.3,,,,
,14,0.5165,,,,17.6,,,0.099,,,22.2,,12.5,,,,
,15,0.6275,,,,32.2,,,0.111,,,22.2,,14.6,,,,
,16,0.7525,,,,49.8,,,0.125,,,22.2,,17.6,,,,
,17,0.8895,,,,72.7,,,0.137,,,22.2,,22.9,,,,
,18,0.991,,,,103.8,,,0.1015,,,22.2,,31.1,,,,
,19,0.9915,,,,106.7,,,0.0005,,,22.2,,2.9,,,,
,20,0.9945,,,,105.4,,,0.003,,,22.2,,-1.3,,,,
,21,0.9985,,,,106.3,,,0.004,,,22.2,,0.9,,,,
,22,1.0055,,,,109.4,,,0.007,,,22.2,,3.1,,,,
,23,1.0155,,,,113.5,,,0.01,,,22.2,,4.1,,,,
,24,1.0275,,,,118.3,,,0.012,,,22.2,,4.8,,,,
,25,1.0405,,,,122.8,,,0.013,,,22.2,,4.5,,,,
,26,1.057,,,,127.1,,,0.0165,,,22.2,,4.3,,,,
,27,1.075,,,,136,,,0.018,,,22.2,,8.9,,,,
,28,1.084,,,,141.7,,,0.009,,,22.2,,5.7,,,,
,29,1.089,,,,144.7,,,0.005,,,22.2,,3,,,,
,30,1.0955,,,,147.5,,,0.0065,,,22.2,,2.8,,,,
,31,1.103,,,,150.5,,,0.0075,,,22.2,,3,,,,
,32,1.112,,,,154.3,,,0.009,,,22.2,,3.8,,,,
,33,1.12,,,,158.8,,,0.008,,,22.2,,4.5,,,,
,34,1.124,,,,161.5,,,0.004,,,22.2,,2.7,,,,
,35,1.127,,,,163.5,,,0.003,,,22.2,,2,,,,
,36,1.131,,,,164.8,,,0.004,,,22.2,,1.3,,,,
,37,1.1355,,,,166.4,,,0.0045,,,22.2,,1.6,,,,
,38,1.1415,,,,168.4,,,0.006,,,22.2,,2,,,,
,39,1.1475,,,,170.5,,,0.006,,,22.2,,2.1,,,,
,40,1.1515,,,,172.2,,,0.004,,,22.2,,1.7,,,,
,41,1.154,,,,173.2,,,0.0025,,,22.2,,1,,,,
,42,1.157,,,,174.1,,,0.003,,,22.2,,0.9,,,,
,43,1.1605,,,,174.9,,,0.0035,,,22.2,,0.8,,,,
,44,1.1645,,,,175.9,,,0.004,,,22.2,,1,,,,
,45,1.1685,,,,177,,,0.004,,,22.2,,1.1,,,,
,46,1.1715,,,,177.8,,,0.003,,,22.2,,0.8,,,,
,47,1.1735,,,,178.6,,,0.002,,,22.2,,0.8,,,,
,48,1.1765,,,,179.1,,,0.003,,,22.2,,0.5,,,,
,49,1.1785,,,,179.7,,,0.002,,,22.2,,0.6,,,,
,50,1.181,,,,180.3,,,0.0025,,,22.2,,0.6,,,,
,51,1.1835,,,,180.9,,,0.0025,,,22.2,,0.6,,,,
,52,1.1855,,,,181.5,,,0.002,,,22.2,,0.6,,,,
